Name,NetWorth_Billions,X,Y,Z,ForceBasedOnAge
Rafaela Aponte-Diamant,44.434609,0.05909614,0.5756695,0.548832,0.11111111
James Dinan,2.409,-0.52591103,0.4822473,0.15479903,0.26666668
Elisabeth DeLuca & family,9.028439,-0.58416986,0.29225773,0.10169346,0.13333334
Amit Burman,1.184608,0.55337864,0.3100291,0.1254045,0.37777779
Harald Tschira,2.042578,0.060267787,0.46547922,0.39427555,0.43333334
He Xiangjian & family,32.879011,0.69727725,0.32227013,-0.29786724,0.07777778
Shekhar Bajaj,3.808009,0.7547391,0.27304563,0.23243915,0.14444445
Andreas Pohl,2.56464,0.1607951,0.62945485,0.5740964,0.32222223
Rajiv Jain,4.49937,-0.7931735,0.39478177,0.13781214,0.36666667
Carlo Fidani,4.537485,-0.4270739,0.41530097,0.07993551,0.22222222
Kwee Liong Seen,1.830737,0.58342326,0.01352835,-0.14384343,0.2
Gerda Tschira,2.042578,0.66270864,0.38054085,-0.283353,0.08888889
Wu Xiaoge,1.433811,0.49420136,0.30210623,-0.12382969,0.41111112
Jamshyd Godrej,5.289259,0.8066671,0.29183185,0.24843156,0.15555556
Xu Jiangnan,1.170144,0.48072755,0.2989692,-0.24617752,0.3
Otto Philipp Braun,3.983229,0.07968795,0.59620667,0.4739095,0.47777778
Haryanto Tjiptodihardjo,4.224892,0.8339669,-0.09488404,-0.252506,0.31111112
Pat Stryker,3.835856,-0.5536709,0.49123317,-0.14923006,0.23333333
Girdhari Jaisinghani,1.778204,0.65378755,0.2365239,0.20134881,0.1
Faisal Bin Qassim Al Thani,1.697015,0.60439223,0.36465868,0.48022148,0.14444445
Solina Chau,2.35246,0.52844423,0.3034435,-0.22594585,0.2888889
Viktor Vekselberg,10.024838,0.2692601,0.6479677,0.34944445,0.24444444
James Chao & family,4.039772,-0.7771657,0.44638082,-0.07296137,0.13333334
Ben Silbermann,1.225839,-0.50996476,0.46817908,-0.3238757,0.5222222
Gerald Frere,2.923364,0.030760566,0.4699684,0.38843986,0.17777778
Wei Yin-Heng,2.337,0.5857453,0.41622645,-0.35835633,0.26666668
Helena Dassault,2.342725,0.019304978,0.539087,0.47065255,0.6
Marcel Erni,3.061144,0.089336574,0.6507371,0.5965189,0.33333334
Fabien Pinckaers,4.484044,0.032490652,0.47322452,0.38827726,0.4888889
J. Christopher Reyes,13.1,-0.64245206,0.33310622,0.11170538,0.2
Larry Connor,2.087939,-0.46052873,0.38346714,0.04607566,0.16666667
Binny Bansal,1.410391,0.82107866,0.019039076,-0.20243755,0.5222222
Wee Ee Cheong,2.634802,0.56747204,0.013158475,-0.13991064,0.2
Linda Pritzker,2.1842,-0.39722824,0.46418434,-0.17680757,0.2
Ingrid Wu,1.489798,0.71269065,0.40924153,-0.3047237,0.41111112
William Stone,3.299248,-0.51772624,0.47852615,0.16592976,0.22222222
Artur Grynbaum,1.665625,-0.57114357,-0.3583114,0.49172756,0.37777779
Pansy Ho,4.466434,0.6513646,0.29250875,-0.29238915,0.3
Noaman Razack,1.260425,0.5720307,0.13491878,0.12583506,0.24444444
Nicola Leibinger-Kammueller,2.44038,0.12368318,0.69560623,0.5187462,0.26666668
Carson Brice,1.340849,-0.4650303,0.34174302,0.09344061,0.35555556
Stewart Rahr,4.271704,-0.4387969,0.3928215,0.1257733,0.12222222
Clóvis Ermírio de Moraes,1.069783,-0.5568958,-0.33382642,0.5259658,0
Zhang Wanzhen,3.817388,0.6686717,0.32762158,-0.3351758,0.15555556
Li Zhiyuan,2.601246,0.66607875,0.25904572,-0.2470047,0.22222222
Stefan Reimann-Andersen,6.352,0.12145923,0.48207766,0.41342598,0.31111112
Bijan Tehrani,2.197909,0.3855727,-0.5212183,-0.5499055,0.65555555
Clifford Asness,6.282,-0.55833286,0.50633496,0.16402459,0.34444445
Neal Aronson,3.9962,-0.73422295,0.4929361,0.07214649,0.33333334
Domenico Dolce,2.137536,0.07879748,0.5014707,0.4870755,0.25555557
Yu Kai,1.708374,0.60819656,0.5678772,-0.30187455,0.46666667
Zhao Yan,2.9262,0.41176084,0.38446385,-0.2043749,0.35555556
Wang Yun'an,3.384601,0.5516069,0.3727104,-0.32054558,0.56666666
Xavier Niel & family,13.977842,0.021413991,0.5979807,0.52207,0.35555556
Lin Tsung-Chi,4.862249,0.47473395,0.22909322,-0.27756006,0.06666667
Ji Qi,4.0069,0.6335993,0.014691826,-0.15621437,0.34444445
Maximilian von Baumbach,6.542045,0.06794025,0.5769632,0.47984496,0.7
Patokh Chodiev,1.133991,0.59025955,0.5701206,0.13723287,0.2
Thomas Kaeser,6.275332,0.0787875,0.4982597,0.40669838,0.2
Shamsheer Vayalil,1.677925,0.7167294,0.40082112,0.5131844,0.46666667
Sam Gance,3.204389,0.26574755,-0.35923833,-0.37901032,0.15555556
Jean-Pierre Cayard & family,2.000416,0.016992316,0.47450644,0.41427022,0.08888889
Abdullah Al Othaim,2.24083,0.43200344,0.27277127,0.40678775,0.24444444
Katarina Martinson,2.922603,0.10282325,0.5589968,0.31517112,0.51111114
Reagan Horton,2.245971,-0.50459695,0.32692656,-0.06482656,0.44444445
