ID,Name,NetWorth,x,y,z,sector or company,industries,connections,Age,Source_or_company_extended,Philanthropy_Score,Self_Made_Score,Citizenship,Marital_Status,Children,connection_names_matched,is_valid,connection_count,vx,vy,vz,velocity_strength,NetWorth_Billions
994,Ravi Pillai,3663315727.0,0.5184761,0.5025168,0.15061459,Construction,construction/materials,775,72.0,Construction/ Self Made,,,India,Married,2.0,M.A. Yusuff Ali,True,1,0.0007809849143443183,-0.039340497065603386,0.030849884168256087,0.049999999999999996,3.663315727
995,Lin Chen-hai,3663315727.0,1.0208405,0.21958947,-1.106705,Real estate,real estate,1623,79.0,Real estate/ Self Made,,,Taiwan,Married,2.0,Douglas Hsu,True,1,-0.033672374103341396,0.019524229831576024,0.03138432206896336,0.05,3.663315727
996,J.B. Pritzker,3663315727.0,-1.57149,0.8503015,-0.057112508,Hotels  investments,investment/finance,878/523/925/423,61.0,Hotels/ investments,4.0,3.0,United States,Married,2.0,Anthony Pritzker/Karen Pritzker/Penny Pritzker/J.B. Pritzker/Robert Rowling,True,4,0.02293094457425089,0.01959860383653593,-0.00875571808340969,0.0314101271975297,3.663315727
997,Antonio Gracias,3663315727.0,-0.48493922,0.8919122,0.3773988,Investments,investment/finance,0/2311/434/4/395/1970,55.0,Investments/ Self Made,,,United States,Divorced,3.0,Elon Musk/JB Straubel/Joe Gebbia/Larry Ellison/Leo KoGuan/Nicholas Pritzker,True,6,-0.019697147339190396,-0.01029775475525431,-0.031099332366842387,0.03822551294573388,3.663315727
998,Phil Ruffin,3663315727.0,-1.0366666,1.2168648,-0.59695095,Casinos  real estate,real estate/gambling/entertainment,670/2626/1119,91.0,Casinos/ real estate/ Self Made,1.0,8.0,United States,Married,5.0,Donald Trump/Douglas Rippel/Steve Wynn,True,3,-0.013647530683100609,-0.02935541021144361,0.03457335032262561,0.04736361214011551,3.663315727
999,Eduardo Eurnekian,3663315727.0,-1.131597,0.109991,0.112553254,Airports  investments,ai/software/investment/finance/logistics/shipping,,93.0,Airports/ investments/ Self Made,,,Argentina,Single,,,True,0,0.00428548353288547,-0.00030595783634139445,-0.002557541923751938,0.005,3.663315727
1000,Sukanto Tanoto,3663315727.0,0.77136993,0.047475778,-0.20253608,Diversified,Diversified,3110/36/20,76.0,Diversified/ Self Made,,,Indonesia,Married,4.0,Hartati Murdaya/Li Ka-shing/Mukesh Ambani,True,3,-0.006783800500393647,0.006443622667217282,0.0160554681558825,0.018582741455747977,3.663315727
1001,Yeung Kin-man,3663315727.0,1.3951372,0.96060526,-1.0674446,Electronics,Electronics,184/194/1156/1512/225/187,73.0,Electronics/ Self Made,,,Hong Kong,Married,3.0,Barry Lam/Bruce Cheng/C.C. Leung/Koo Bon-neung/Pierre Chen/Terry Gou,True,6,0.010240823371725598,-0.035187212488281154,-0.006173670291805381,0.03716353846040835,3.663315727
1002,John Caudwell,3663315727.0,-0.67897636,1.9924071,1.0274956,Mobile phones,Mobile phones,,73.0,Mobile phones/ Self Made,,,United Kingdom,Divorced,7.0,,True,0,0.0020825429660022467,-0.004445181265311399,-0.0009504621577312332,0.004999999999999999,3.663315727
1003,Stewart Rahr,3663315727.0,-1.1468027,1.4444356,0.65736353,Drug distribution,Drug distribution,165,80.0,Drug distribution,3.0,5.0,United States,Divorced,2.0,Stephen Ross,True,1,-0.008275432005967724,-0.04930924717326622,-0.0003396591237453783,0.05000000000000002,3.663315727
